,name,profile_link,bio,D.O.B,image,Other_Works,Nick_Name,star_sign,trivia,trademark,quote,height,ALternate Names
32," Dimple Kapadia
",https://www.imdb.com/name/nm0438092,"
    Born in a Gujerati-speaking family on June 8, 1957, daughter to businessman, Chunnibhai and Betty, Dimple has a younger sister, Simple, who was born on 15 August 1958. She was discovered by Raj Kapoor, who signed her up opposite his son, Rishi, in the 1973 hit 'Bobby'. The film made Rishi and her stars overnight, at the time she was just 16 years ...            
See full bio »
            
","
June 8, 
     
1957","https://m.media-amazon.com/images/M/MV5BNTc4MTE1NDU5MF5BMl5BanBnXkFtZTcwNDI2MTcxOA@@._V1_UY317_CR122,0,214,317_AL__QL50.jpg",,,"

Gemini
","

    Was involved with actor Vijayendra Ghatge while she was married to Rajesh Khanna.                    
See more

                    »
        ",,,"

5' 2½"" (1.59 m)        ","

            Dimple | Dimple Jatin Khanna
        "
33," Dev Anand
",https://www.imdb.com/name/nm0007147,"
    After having played the Lead Actor for more than five decades in over 110 motion pictures, Dev Anand continues to bestride Indian Cinema today. He has given a new dimension to that magical state known as Stardom. And for his exemplary work he was awarded the Padma Bhushan in 2001 by the President of India. From the time he embarked on his career ...            
See full bio »
            
","
September 26, 
     
1923","https://m.media-amazon.com/images/M/MV5BMTk5MDI0OTQzOF5BMl5BanBnXkFtZTcwMTgwMzEzMQ@@._V1_UY317_CR104,0,214,317_AL__QL50.jpg",,"

            Dev Saab
        ","

Libra
","

    In 1975, Dev Anand had flown to New York ,USA to finalize the film ""The Immigrants"" by Reynold Massey. The project fizzled out .                    
See more

                    »
        ",,"

    I keep drawing inspiration from people every day. All of a sudden, something strikes me so hard and dramatically, and then a dream comes - I sit down, cut it off and make a script out of it.                    
See more

                    »
        ","

5' 10½"" (1.79 m)        ","

            Dharam Dev Anand | Shri Dev Anand
        "
34," Deepti Naval
",https://www.imdb.com/name/nm0622732,"
    Deepti Naval is an Indian film actor, director, writer, painter and photographer. A multi-faceted personality, her major contribution has been in the area of art cinema, winning critical acclaim for her sensitive and close to life characters that emphasized the changing role of women in India. The first American-Indian actor to join Hindi films, ...            
See full bio »
            
","
February 3, 
     
1952","https://m.media-amazon.com/images/M/MV5BYjhjNWM1MmUtM2M3My00MWZmLWE5NDYtNTI5YTM3MWQwNGVhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Aquarius
","

    Was involved briefly with Farooq Sheikh.                    
See more

                    »
        ",,,"

5' 3"" (1.6 m)        ","

            Dipti Naval
        "
35," Dilip Kumar
",https://www.imdb.com/name/nm0474801,"
    Dilip Kumar is considered to be one of the greatest actors of Indian cinema. Starting his career in 1944, he has starred in some of the biggest commercially successful films in the period 1949-1961. . He was the first actor to receive a Filmfare Best Actor Award and holds the record for most number of Filmfare Awards won for that category. Though ...            
See full bio »
            
","
December 11, 
     
1922","https://m.media-amazon.com/images/M/MV5BMzg0NTM0MjYxN15BMl5BanBnXkFtZTcwMzY1NTAzMQ@@._V1_UY317_CR102,0,214,317_AL__QL50.jpg","

                	memoir: 
    ""Dilip Kumar: The Substance and the Shadow""        ","

            Tragedy King
                
See more

                »
        ","

Sagittarius
","

    Bollywood Second Biggest Star after Ashok Kumar. Dilip Kumar became a star only with 1947 hit Jugnu and Shaheed in 1948. Motilal, Sohrab Modi, Ashok Kumar and K.L. Saigal were regarded as greater actors than Dilip Kumar, when he made his debut.                    
See more

                    »
        ","

    His deep, rich voice        ","

    Am overwhelmed by the affection shown by the people over the years. But to be very frank, I have been outdone by actors like my seniors M.G.Ramachandran and Pran and then by Sivaji Ganesan, Sanjeev Kumar and Rajesh Khanna who were much more versatile than me as actors. Their number of films and the various characters they have done are much more than that of mine.        ","

5' 8¼"" (1.74 m)        ","

            Yusuf Khan | Mr. Dilip Kumar | Shri Dilip Kumar
        "
36," Farooq Shaikh
",https://www.imdb.com/name/nm0787582,"
    Farooq Sheikh was an Indian actor, philanthropist and a television presenter. He was known for his work in Hindi films from 1977 to 1989. He returned to acting in films in 2008. His major contribution was in Parallel Cinema or the New Indian Cinema. He's acted in serials and shows on television and has performed on stage in famous productions like...            
See full bio »
            
","
March 25, 
     
1948","https://m.media-amazon.com/images/M/MV5BNzY3ODZmNDctZDA0ZC00NGNmLTgzZmItM2JhMTI4MzM3NTU2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Aries
","

    Starred in the shelved movie Rajat Chitra's ""Banwaas""(1983). Starring Farooq Sheikh,Moushami Chatterjee,Raj Babbar, Surinder Kaur,Sulbha Arya. Music by Kalyanji Anandji. Produced and Directed by Rajat Rakshit.                    
See more

                    »
        ",,,,"

            Farooque Shaikh | Farouque Shaikh | Farooque Sheikh | Farouque Sheikh | Faruque Sheikh
        "
37," Farhan Akhtar
",https://www.imdb.com/name/nm1027719,"
    An accomplished and award-winning producer-director-writer-actor-singer, Farhan Akhtar is the ultimate Bollywood multi-hyphenate. Born in 1974 to prolific Indian film writer and poet, Javed Akhtar and writer-director, Honey Irani , Farhan was raised in an environment where creativity and originality of thought were encouraged. This has made him a ...            
See full bio »
            
","
January 9, 
     
1974","https://m.media-amazon.com/images/M/MV5BMjA4MjYwNzAzM15BMl5BanBnXkFtZTcwMzUyMTUxNw@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Capricorn
","

    Farhan was ready with a powerful script for a film on the lines of a Hollywood war movie complete with a Hollywood cast. The film was titled Sid and was to have majority of the crew and cast member from the West. The script was ready and was supposedly a power packed action venture. The story is war-based, along the lines of Hollywood flick 300. Sid was to be directed by Farhan's best director ...                    
See more

                    »
        ","

    Frequently works with the music director trio of Shankar Mahadevan, Ehsaan Noorani and Loy Mendonsa credited as Shankar-Ehsaan-Loy. Till 2009 they have composed music in all the films that Farhan has directed (Dil Chahta Hai (2001), Lakshya (2004), Don (2006)) and starred in (Rock On!! (2008) and Luck by Chance (2009))                    
See more

                    »
        ","

    [February 2009] I personally feel that since we (the Indian audience) are used to watching a certain kind of entertainment (the typical traditional bollywood movie) it'll take time for everybody to move on from expecting a routine typical Indian movie and accept a different kind of a movie like say Rock On!! (2008) or A Wednesday (2008). It will take a while for such movies to maybe attain a huge...                    
See more

                    »
        ","

5' 7"" (1.7 m)        ",
38," Feroz Khan
",https://www.imdb.com/name/nm0451211,"
    Firoz was born in Bangalore on September 25, 1939 to a Pathan father, Sadiq, and an Iranian mother, Fatima. He has three brothers, Abbas alias Sanjay, Akbar, and Sameer. Both Sanjay and Akbar are actors within their own rights, while Sameer is a film-maker and assists in their Golden Palms Spa located in Bangalore. He made his entry on the silver ...            
See full bio »
            
","
September 25, 
     
1939","https://m.media-amazon.com/images/M/MV5BN2NjODM2NDItYTU0Ni00MzJmLWJkZTYtMjQ3ZDZjZmNjY2NhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR11,0,214,317_AL__QL50.jpg",,,"

Libra
","

    Discovered NRI Fiji Indian actress Nalini Krishan in Prem Aggan.                    
See more

                    »
        ",,,"

6' (1.83 m)        ","

            Feeroz | Feroze | Feroze Khan | Firoz Khan | Khan Saab
        "
39," Farida Jalal
",https://www.imdb.com/name/nm0416077,"
    Farida Jalal was discovered by Filmfare's United Producers' Talent Hunt in the 1960s. She starred in her first movie as a teenager, in the Rajshri Productions' ""TAQDEER' in 1967. Thereafter she has starred in more than 200 movies as a character actress mainly, but also as lead actor in some. She is known as Bollywood's all time Favourite Mother. ...            
See full bio »
            
","
March 14, 
     
1949","https://m.media-amazon.com/images/M/MV5BZGE2OTUzZDEtZWQ2Ny00YTQ0LWEyYmItYmRiYjMxNTFiYzYwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Pisces
","

    It is difficult to imagine that the heroine of Rajesh Khanna in the iconic Aradhana didn't make it big as a heroine. Maybe it was her acting skills. But so-what. she looked happy and fit all her life.                    
See more

                    »
        ",,,"

5' 1"" (1.55 m)        ","

            Farida Tabrez Barnavar | Baby Farida
        "
40," Guru Dutt
",https://www.imdb.com/name/nm0244870,"
    Considered to be a man ahead of his time, Guru Dutt was one of the greatest icons of commercial Indian cinema. Although he made less than fifty films, they are believed to be the best to come from Bollywood's Golden Age, known both for their ability to reach out to the common man and for their artistic and lyrical content, and they went on to ...            
See full bio »
            
","
July 9, 
     
1925","https://m.media-amazon.com/images/M/MV5BMjA0Mzg2NjEwN15BMl5BanBnXkFtZTgwODQ1NDQzNzE@._V1_UY317_CR104,0,214,317_AL__QL50.jpg",,,"

Cancer
","

    According to his sister Lalitha, at the age of fourteen years, Dutt would use his fingers to shape images on a wall lit by the flickering light of their grandmother's lamp as she performed the evening prayers.                    
See more

                    »
        ","

    Revolutionized the close-up shot and used it in all of his films.        ","

    About Kaagaz Ke Phool (1959): It was good in patches. It was too slow and it went over the head of audiences.        ",,"

            Late Guru Dutt 'Dada' | my Guru | Gurudutt | Guru
        "
41," Govinda
",https://www.imdb.com/name/nm0332871,"
    Govinda was born on December 21, 1963. Govinda has acted in over 120 films since his debut in 1986. Govinda is best-known for his comedy related roles; his powerful contribution in dancing in bollywood is inevitable. He is one of the most successful actors and is definitely the best dancer in bollywood. His hardworking mentality and consistent ...            
See full bio »
            
","
December 21, 
     
1963","https://m.media-amazon.com/images/M/MV5BNzEwNDgwMTk3Nl5BMl5BanBnXkFtZTgwNjMwOTU4MDI@._V1_UY317_CR21,0,214,317_AL__QL50.jpg",,"

            Chi Chi
                
See more

                »
        ","

Sagittarius
","

    In 1996 Jackie Shroff signed Nana Patekar and Govinda for a film to be directed by David Dhawan. Jackie was only going to produce the film and not act in it.                    
See more

                    »
        ",,"

    Someone shamelessly wrote that I was caught red-handed with one of my heroines. And to think that I was with my wife at that point of time. Ha!        ","

5' 4¾"" (1.64 m)        ",
42," Gulshan Grover
",https://www.imdb.com/name/nm0004109,"
    Gulshan Grover was born, raised and educated in Delhi, India. After receiving his master's degree in Commerce from Shri Ram College of Commerce, he decided to pursue his passion and made a lifelong commitment to entertainment industry. He honed his acting skills in theatre, and after many stage productions with the well-known ""Little Theatre Group...            
See full bio »
            
","
September 21, 
     
1955","https://m.media-amazon.com/images/M/MV5BM2FmZGY4NDctMzczOC00MTg3LWExZDUtYWU5NTNkMTA4YzZhXkEyXkFqcGdeQXVyODI0MDE3OQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Virgo
","

    Was involved with Manju Tejwani from Hyderabad in 1989.                    
See more

                    »
        ",,"

    I believe it's better to be a baddie because baddies have a longer shelf life, and don't have to depend on looks.        ","

5' 7½"" (1.71 m)        ","

            G. Grover
        "
43," Gurpreet Ghuggi
",https://www.imdb.com/name/nm1836657,"
    Gurpreet Ghuggi was born as Gurpreet Singh. He is known for his work on Race (2008), Singh Is Kinng (2008) and Nalaik (2005). He is married to Kuljeet Kaur. They have two children.            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BODJhZWQ3NGEtZDFmYS00YTc3LTllMzctZGFlM2U0NjliYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR8,0,214,317_AL__QL50.jpg",,"

            Ghuggi
        ",,,,,,"

            Gurpreet Singh 'Ghuggi' | Gurprit Ghughi | Gurpreet Ghugi | Gurpreet Guggi | Guggi | Gurpreet Kuggi
        "
44," Girish Karnad
",https://www.imdb.com/name/nm0439784,"
    Girish Karnad was born on 19th May 1938 in Matheran, Maharashtra. He is acclaimed for his contemporary playwrights in Kannada. He is also an actor, director and screen writer. He was conferred Padma Shri and Padma Bhushan by the Government of India and won four Filmfare Awards where three are Filmfare Award for Best Director - Kannada and one ...            
See full bio »
            
","
May 19, 
     
1938","https://m.media-amazon.com/images/M/MV5BMTkyNDk3MjEzN15BMl5BanBnXkFtZTYwOTQyODEz._V1_UY317_CR24,0,214,317_AL__QL50.jpg","

    (1993 to 1994 season) His play, ""Naga Mandala,"" was performed at the Tyrone Guthrie Theater, 725 Vineland Place, Minneapolis, Minnesota with Stan Egi and Nirupama Nityanandan in the cast. Garland Wright was director and artistic director. Bartlett Sher was associate director. Douglas Stein was set designer. Susan Hilferty was ...                    
See more

                    »
        ",,"

Taurus
","

    Daughter Radha appeared in the film Umbartha as a child.                    
See more

                    »
        ",,,,
